month,day,hour,min,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu
1,9,10,15,3.03,0,369.6,0.1,254.54,21.53,267.47,30.29,3.4,26.69,48.07
1,9,10,45,2.89,0,403.49,0.1,269.77,21.41,258.07,30.15,3.33,25.49,48.19
1,9,11,0,2.82,0,392.17,0.1,274.22,21.42,258.2,30.14,3.47,25.36,48.09
1,9,12,45,2.37,0,314.95,0.1,222.28,21.77,259.13,30.71,18.33,24.85,48.52
1,9,16,45,1.99,118.45,0,0.1,184.38,20.25,270.73,31.78,307.87,24.96,51.05
1,9,19,45,2.06,43.26,0.24,0.1,178.8,20.69,254.73,31.63,354.53,24.77,51.12
1,9,20,45,2.07,87.05,0,0.1,176.16,20.75,254.8,31.67,352.8,25.37,51.41
1,10,0,30,2.61,388.74,0,0.1,203.29,16.62,254.13,33.59,365.33,0,53.31
1,10,14,45,2.14,0,180.9,0.1,190.03,21.29,212.13,31.11,94.53,24.64,49.39
1,10,15,45,2.03,0,72.05,0.1,192.24,21.23,210.07,31.37,196.2,25.21,49.97
1,10,20,0,1.66,0,273.57,0.1,212.68,20.69,252.2,30.07,41.8,25.3,48.28
1,10,21,30,1.56,138.65,0,0.1,200.87,20.68,237.27,31.27,310.2,0.06,50.63
1,10,21,45,1.57,193.81,0,0.1,174.03,20.68,232.33,31.63,308.67,0,50.99
1,11,0,45,1.75,244.26,0,0.1,164.2,19.2,281.07,32.1,105.33,0,50.12
1,11,1,0,1.78,215.53,0,0.1,172.6,18.99,281.67,31.97,106.73,0,49.88
1,11,2,45,1.96,219.47,0,0.1,134.6,19.11,261.93,32.06,105.2,0,50.19
1,11,10,45,1.47,0,259.08,0.1,216.58,20.61,258.53,30.39,3.73,25.04,48.18
1,11,11,30,1.35,0,254.31,0.1,235.95,19.87,262.27,30.07,3.07,24.91,47.76
1,11,18,30,0.6,0,67.28,0.1,167.65,20.81,242.87,29.99,206.93,25.56,48.33
1,13,11,15,0,60.34,0,1.543,142.82,20.31,262.13,33.72,338.87,25.84,53.05
1,13,18,30,0.29,116.47,0,0.871,144.56,20.85,250.6,30.06,394.87,25.03,50.02
1,14,5,15,1.53,273.11,0,2.241,387.92,25.75,249.33,31.64,266.93,0,50.71
1,14,7,0,1.65,67.57,0,2.349,112.09,19.67,255.13,31.2,386.93,27.26,51.07
1,14,7,15,1.65,55.22,0,2.312,92.77,19.35,254.67,31.26,386.13,26.08,51.26
1,14,9,30,1.68,58.83,0.09,1.917,74.5,19.5,249.47,31.26,384.07,25.82,51.27
