month,day,hour,min,i_uiip,i_f,i_uiipu,truth
2,2,8,30,0,0,0,0
2,2,8,45,0,0,0,0
2,2,10,45,0,0,0,0
2,2,12,45,0,0,0,0
2,2,13,45,0,0,0,0
2,2,14,0,0,0,0,0
2,2,16,0,0,0,0,0
2,2,16,45,0,0,0,0
2,2,17,45,0,0,0,0
2,2,19,45,0,0,0,0
2,2,20,45,0,0,0,0
2,2,21,0,0,0,0,0
2,3,0,0,0,0,0,0
2,3,0,15,0,0,0,0
2,3,1,0,0,0,0,0
2,3,1,30,0,0,0,0
2,3,4,15,0,0,0,0
2,3,7,30,0,0,0,0
2,3,13,0,0,0,0,0
2,3,15,0,156.97,220.4,373.47,0
2,3,15,45,142.85,221.53,374.33,0
2,3,16,15,148.35,217.8,375.93,0
2,3,16,30,157.06,225.07,247.8,0
2,3,16,45,122.46,236.67,98.6,0
2,3,19,0,114.63,253.27,115.47,0
2,3,19,15,115.64,253.33,116.2,0
2,3,19,45,96.27,253.87,97.87,0
2,3,21,0,116.8,229.53,379.67,0
2,3,22,45,127.31,250.4,371.73,0
2,3,23,15,399.94,248.4,370.73,0
2,3,23,30,394.27,245.47,365.93,0
2,4,0,0,427.44,244.8,364.47,0
2,4,1,30,406.73,242.4,364.47,0
2,4,3,15,298.12,228.2,366.6,0
2,4,7,15,134.49,271.6,134.47,0
2,4,7,30,135.1,276.33,135.93,0
2,4,9,45,223.63,237.53,301.6,0
2,4,13,0,232.99,232,374.8,0
2,4,14,15,225.24,232.67,376.73,0
2,4,14,45,209.98,235.07,376.2,0
2,4,15,15,165.67,234,376.6,0
2,4,15,45,156.29,232.93,374.67,0
2,4,19,0,151.88,253.8,152.6,0
2,4,19,30,151.84,246.8,152.4,0
2,4,23,15,369.68,213.6,371.53,0
2,4,23,30,366.77,211.33,368.27,0
2,4,23,45,364.28,210.13,367.07,0
2,5,1,15,316.99,235.13,363,0
2,5,2,30,260.48,231.4,348.47,0
2,5,5,0,329.45,246.27,354.53,0
2,5,5,15,353.53,255.07,352.13,0
2,5,6,0,142.68,257.2,291.07,0
2,5,6,45,134.48,270.47,113.6,0
2,5,8,15,207.73,255,103.53,0
2,5,10,30,132.36,244,107.27,0
2,5,13,15,195.76,232.67,335.47,0
2,5,16,0,185.33,228.07,331.27,0
2,5,17,0,75.43,242.4,64,0
2,5,18,45,69.6,245.8,70.27,0
2,5,19,30,69.15,245.33,70,0
2,5,20,30,68.96,247,69.67,0
2,5,23,0,298.07,224.47,370.73,0
2,5,23,15,343.63,225.47,371,0
2,6,1,0,290.2,214.53,349.53,0
2,6,2,0,233.41,208.87,359,0
2,6,4,0,244.06,250.2,339.8,0
2,6,4,30,228.15,249,339.27,0
2,6,5,0,316.27,253,280.4,0
2,6,6,30,106.78,259.93,177.87,0
2,6,7,15,141.56,267.13,173,0
2,6,7,45,163.85,222.4,141.27,0
2,6,9,0,115.15,238.13,110.33,0
2,6,12,0,195.63,242.93,101.87,0
2,6,15,0,212.23,238.33,97.4,0
2,6,15,15,208.36,237.4,96.4,0
2,6,17,30,80.79,242.27,79.8,0
2,6,18,45,89.11,226.47,90.2,0
2,6,19,0,89.5,231.67,90.2,0
2,6,22,30,131.25,222.67,375.13,0
2,6,23,15,280.53,222,371,0
2,7,1,30,391.19,241.47,276.13,0
2,7,1,45,404.92,244,222,0
