month_day_hour_min,i_uiipu,c_pu_p,p_pu,truth
848,352.87,25.03,51.24,0
849,351.27,26.33,51.44,0
850,352.47,24.81,51.38,0
851,352.8,25.37,51.41,0
852,351.73,6.36,51.5,0
853,348.33,0.3,51.82,0
854,347.87,0.08,51.75,0
855,346.8,0,52.04,0
856,348.13,0,51.87,0
857,342.8,0,52.3,0
858,344.4,0,52.2,0
859,341.93,0,52.3,0
860,372.13,0,52.88,0
861,369.47,0,52.73,0
862,366.73,0,53.29,0
863,366.2,0,53.39,0
864,366.07,0,53.41,0
865,363.47,0,53.37,0
866,365.33,0,53.31,0
867,360.8,0,53.82,0
868,367.6,0,53.07,0
869,362.87,0,53.56,0
870,361.27,0,53.64,0
871,364.53,0,53.42,0
872,363.33,0,53.41,0
873,362.47,0,53.48,0
874,360.67,0,53.63,0
875,360.2,0,53.76,0
876,361.47,0,53.55,0
877,359.8,0,53.82,0
878,359,0,53.79,0
879,357.07,0,53.86,0
880,362.87,0,53.49,0
881,363.4,0,53.48,0
882,358.93,0,53.86,0
883,359.8,0,53.8,0
884,359.07,0,53.91,0
885,360.87,0,53.79,0
886,363.27,0,53.35,0
887,364.6,0,53.31,0
888,311.13,0,52.65,0
889,312.47,0,52.44,0
890,166.07,17.39,51.07,0
891,109.73,27.61,50.72,0
892,112.67,26.78,50.42,0
893,106.33,25.63,50.37,0
894,74.47,26.73,50.03,0
895,62.8,25.44,50.23,0
896,63.73,24.85,50.13,0
897,12.33,25.78,49.47,0
898,2.2,25.71,49.59,0
899,2.07,25.69,49.38,0
900,37.93,26.51,48.73,0
901,44.07,24.97,48.39,0
902,44.8,25.75,48.42,0
903,45.07,26.02,48.32,0
904,44.73,25.2,48.67,0
905,44.73,25.3,48.62,0
906,44.67,25.44,48.35,0
907,44.27,25.01,48.69,0
908,44.6,26.07,48.44,0
909,44.2,25.45,48.18,0
910,89.2,24.66,49.1,0
911,121.6,24.89,49.65,0
